current_age,gender,yearly_income,per_capita_income,total_debt,credit_score,num_credit_cards,dti_ratio,amount,use_chip,merchant_state,default,predicted_rf,risk_probability,risk_label
64,Female,1033501.0,86125,280435,715,5,0.27134468181453136,1483.94,Yes,Maharashtra,0,0,0.11,Low Risk
39,Female,820965.0,68414,0,834,3,0.0,1274.72,Yes,Maharashtra,0,0,0.04,Low Risk
50,Female,271138.0,22595,0,609,2,0.0,7622.04,No,West Bengal,1,1,0.84,High Risk
27,Male,289898.0,24158,0,782,3,0.0,3970.48,Yes,Madhya Pradesh,0,0,0.07,Low Risk
45,Other,545697.0,45475,117821,608,2,0.21590919502947606,418.45,No,Karnataka,1,1,0.9,High Risk
23,Female,688831.0,57403,207894,652,5,0.3018069744247863,5533.61,Yes,Madhya Pradesh,0,0,0.01,Low Risk
20,Male,448940.0,37412,0,724,2,0.0,1840.93,Yes,Tamil Nadu,0,0,0.25,Low Risk
32,Male,587118.0,48926,31674,684,2,0.05394826934278969,5168.03,Yes,Gujarat,0,0,0.2,Low Risk
70,Female,317771.0,26481,0,800,3,0.0,3343.6,No,Madhya Pradesh,0,0,0.06,Low Risk
65,Female,336928.0,28077,30790,728,1,0.09138450945009023,3297.57,No,Uttar Pradesh,0,0,0.03,Low Risk
58,Female,633104.0,52759,355912,776,3,0.5621698804619778,1134.84,Yes,Madhya Pradesh,0,0,0.07,Low Risk
61,Female,280996.0,23416,0,587,2,0.0,7853.14,Yes,Maharashtra,1,1,0.78,High Risk
35,Male,301197.0,25100,0,683,3,0.0,2058.42,No,Karnataka,0,0,0.09,Low Risk
37,Male,427323.0,35610,0,748,2,0.0,4071.47,Yes,Tamil Nadu,0,0,0.03,Low Risk
43,Female,456121.0,38010,75915,718,1,0.1664360991929773,1485.92,Yes,Maharashtra,0,0,0.17,Low Risk
29,Female,595041.0,49587,177427,662,1,0.2981760920676054,3004.32,Yes,Rajasthan,0,0,0.13,Low Risk
37,Female,683403.0,56950,305183,678,4,0.4465637405747414,1593.85,Yes,Gujarat,0,0,0.05,Low Risk
62,Female,225201.0,18767,0,857,1,0.0,3389.49,Yes,Uttar Pradesh,0,0,0.15,Low Risk
59,Male,242183.0,20182,18715,739,1,0.07727627455271427,2793.02,No,Delhi,0,0,0.12,Low Risk
36,Other,671623.0,55969,0,657,3,0.0,5801.67,No,Madhya Pradesh,0,0,0.02,Low Risk
23,Male,549422.0,45785,80600,847,2,0.14669962251238575,1535.76,No,Madhya Pradesh,0,0,0.03,Low Risk
33,Male,641626.0,53469,161472,782,4,0.25166062472530726,2356.85,Yes,Uttar Pradesh,0,0,0.01,Low Risk
23,Female,565155.0,47096,0,641,1,0.0,922.46,No,Gujarat,1,1,0.81,High Risk
47,Male,1211127.0,100927,145002,812,5,0.1197248513161708,2851.15,Yes,Gujarat,0,0,0.0,Low Risk
23,Male,627122.0,52260,133684,659,5,0.2131706430327751,2189.96,Yes,Tamil Nadu,0,0,0.07,Low Risk
27,Male,852353.0,71029,449362,601,3,0.5272017579570906,3920.72,Yes,Rajasthan,1,1,0.87,High Risk
40,Female,655964.0,54664,107666,640,4,0.1641340073540621,2925.0,Yes,Karnataka,1,1,0.76,High Risk
33,Female,832468.0,69372,184888,620,4,0.222096224719749,2124.58,No,Maharashtra,1,1,0.88,High Risk
19,Male,383912.0,31993,105126,642,3,0.2738283773364729,1989.36,Yes,Bihar,1,1,0.92,High Risk
51,Female,278999.0,23250,0,762,2,0.0,1038.73,Yes,Gujarat,0,0,0.16,Low Risk
31,Male,895055.0,74588,0,736,4,0.0,558.32,Yes,Madhya Pradesh,0,0,0.01,Low Risk
19,Male,1797040.0,149753,668545,575,3,0.37202566442594487,1487.16,Yes,Maharashtra,1,1,0.87,High Risk
67,Female,697733.0,58144,172054,731,5,0.24659002799064972,2277.94,Yes,Maharashtra,0,0,0.01,Low Risk
57,Male,402906.0,33576,0,813,1,0.0,5048.87,Yes,Maharashtra,0,0,0.11,Low Risk
68,Female,1775543.0,147962,0,630,3,0.0,864.87,No,Madhya Pradesh,1,1,0.88,High Risk
67,Male,635541.0,52962,0,585,5,0.0,3965.78,Yes,Madhya Pradesh,1,1,0.86,High Risk
36,Male,684813.0,57068,110055,705,4,0.16070810571645106,2156.68,Yes,Gujarat,0,0,0.02,Low Risk
24,Male,1059872.0,88323,0,759,3,0.0,3141.16,No,Madhya Pradesh,0,0,0.05,Low Risk
66,Female,349469.0,29122,157775,678,3,0.45147065977239753,3916.43,Yes,Telangana,0,0,0.12,Low Risk
49,Male,650935.0,54245,0,745,3,0.0,2753.13,Yes,Maharashtra,0,0,0.07,Low Risk
36,Other,734097.0,61175,0,799,4,0.0,613.24,Yes,Maharashtra,0,0,0.07,Low Risk
43,Male,281012.0,23418,53280,720,3,0.18960044410914836,1353.18,Yes,Gujarat,0,0,0.01,Low Risk
53,Male,676681.0,56390,112681,680,4,0.1665201180467606,929.02,Yes,Gujarat,0,0,0.04,Low Risk
50,Male,1488576.0,124048,0,788,2,0.0,10286.46,Yes,Bihar,0,0,0.08,Low Risk
27,Male,1010526.0,84210,311834,555,4,0.3085858255997372,4978.83,Yes,Gujarat,1,0,0.33,Low Risk
21,Male,251852.0,20988,137676,680,2,0.5466543843209504,505.55,No,Telangana,0,0,0.12,Low Risk
