merchant_state,Total_Customers,High_Risk_Count,Avg_Credit_Score,Avg_Income,Default_Rate_Pct
Bihar,1311,337,703.0839054157132,726976.1853546911,25.7
Delhi,1079,248,708.0797034291011,747031.8563484708,23.0
Gujarat,3043,765,703.78606638186,737069.2438383175,25.1
Karnataka,1567,396,701.5851946394384,714830.3209955329,25.3
Madhya Pradesh,2584,667,703.0584365325077,747555.2020123838,25.8
Maharashtra,4132,1107,701.7395934172314,746078.7424975799,26.8
Rajasthan,1288,324,702.2251552795032,735827.2833850932,25.2
Tamil Nadu,1284,337,702.9439252336449,713978.6604361371,26.2
Telangana,1352,334,703.1997041420118,733810.474112426,24.7
Uttar Pradesh,1435,365,702.3094076655052,723800.7358885017,25.4
West Bengal,925,231,703.7318918918919,718234.7005405405,25.0
